;x.0;x.1;x.2;x.3;x.4;x.5;x.6;x.7;x.8;x.9;x.10;x.11;x.12;x.13;x.14;x.20;x.17;x.18;x.19;x.16;y
0;b;30,83;f;u;g;w;v;1.25;t;t;t;f;g;202.0;f;t;116,9425698;0,578708558;202000.0;f;good
1;a;58,67;4.46;u;g;q;h;3.04;t;t;6;f;g;43.0;560;t;225,6062531;25,40964536;43000.0;f;good
2;a;24,5;0.5;u;g;q;h;1.5;t;f;f;f;g;280.0;824;t;92,08407671;2,317337159;280000.0;f;good
3;b;27,83;1.54;u;g;w;v;3.75;t;t;5;t;g;100.0;3;t;104,1629178;8,04533773;100000.0;f;good
4;b;20,17;5.625;u;g;w;v;1.71;t;f;f;f;s;120.0;f;t;77,87030244;31,11146096;120000.0;f;good
5;b;32,08;4.0;u;g;m;v;2.5;t;f;f;t;g;360.0;f;t;119,9839017;23,94181777;360000.0;f;good
6;b;33,17;1.04;u;g;r;h;6.5;t;f;f;t;g;164.0;31285;t;124,9696717;3,789646828;164000.0;f;good
7;a;22,92;11.585;u;g;cc;v;0.04;t;f;f;f;g;80.0;1349;t;89,8829577;63,99823289;80000.0;?;good
8;b;54,42;0.5;y;p;k;h;3.96;t;f;f;f;g;180.0;314;t;207,1789377;2,335946015;180000.0;?;good
9;b;42,5;4.915;y;p;w;v;3.165;t;f;f;t;g;52.0;1442;t;167,5178889;27,79226479;52000.0;f;good
10;b;22,08;0.83;u;g;c;h;2.165;b;f;f;t;g;128.0;f;f;84,33001344;4,418577803;128000.0;?;good
11;b;29,92;1.835;u;g;c;h;4.335;t;f;f;f;g;260.0;200;t;111,1893577;9,230494089;260000.0;?;good
12;a;38,25;6.0;u;g;k;v;t;t;f;f;t;g;f;f;t;144,8446348;35,10168716;f;f;good
13;b;48,08;6.04;u;g;k;v;0.04;a;f;f;f;g;f;2690;f;183,7725598;34,30025725;f;?;good
14;a;45,83;10.5;u;g;q;v;5.0;t;t;7;t;g;f;f;t;174,9330559;58,6517198;f;f;good
15;b;36,67;4.415;y;p;k;v;0.25;t;t;10;t;g;320.0;f;t;139,4725822;25,20270241;320000.0;f;good
16;b;28,25;0.875;u;g;m;v;0.96;t;t;3;t;g;396.0;f;t;110,3598596;6,246483734;396000.0;f;good
17;a;23,25;5.875;u;g;q;v;3.17;t;t;10;f;g;120.0;245;t;86,46113984;31,69441092;120000.0;?;good
18;b;21,83;0.25;u;g;d;h;0.665;t;f;f;t;g;f;f;t;81,53858102;2,979437876;f;f;good
19;a;19,17;8.585;u;g;cc;h;0.75;t;t;7;f;g;96.0;f;t;74,69633892;48,26728159;96000.0;f;good
20;b;25;11.25;u;g;c;v;2.5;t;t;17;f;g;200.0;1208;t;92,70966968;62,17276776;200000.0;f;good
21;b;23,25;t;u;g;c;v;0.835;t;f;f;f;s;300.0;f;t;85,35035924;6,484371526;300000.0;f;good
22;a;47,75;8.0;u;g;c;v;7.875;t;t;6;t;g;f;1260;t;178,2823834;45,69310034;f;f;good
23;a;27,42;14.5;u;g;x;h;3.085;t;t;t;f;g;120.0;11;t;106,2707349;83,52617976;120000.0;f;good
24;a;41,17;6.5;u;g;q;v;0.5;t;t;3;t;g;145.0;f;t;156,2755601;37,52466376;145000.0;f;good
25;a;15,83;0.585;u;g;c;h;1.5;t;t;2;f;g;100.0;f;t;57,05587082;3,137468987;100000.0;?;good
26;a;47;13.0;u;g;i;bb;5.165;t;t;9;t;g;f;f;t;181,3739356;73,90447734;f;f;good
27;b;56,58;18.5;u;g;d;bb;15.0;t;t;17;t;g;f;f;t;210,2644222;103,8133197;f;f;good
28;b;57,42;8.5;u;g;e;h;7.0;t;t;3;f;g;f;f;t;217,1066179;48,22554383;f;f;good
29;b;42,08;1.04;u;g;w;v;5.0;t;t;6;t;g;500.0;10000;t;157,7203615;5,314717778;500000.0;f;good
30;b;29,25;14.79;u;g;aa;v;5.04;t;t;5;t;g;168.0;f;t;111,0635573;81,85943363;168000.0;f;good
31;b;42;9.79;u;g;x;h;7.96;t;t;8;f;g;f;f;t;159,3136047;54,63192244;f;f;good
32;b;49,5;7.585;u;g;i;bb;7.585;t;t;15;t;g;f;5000;t;188,3903439;42,72521311;f;f;good
33;a;36,75;5.125;u;g;e;v;5.0;t;f;f;t;g;f;4000;t;138,9473138;29,03614805;f;f;good
34;a;22,58;10.75;u;g;q;v;0.415;t;t;5;t;g;f;560;t;87,34685887;59,29976911;f;?;good
35;b;27,83;1.5;u;g;w;v;2.0;t;t;11;t;g;434.0;35;t;101,1736509;9,375961618;434000.0;f;good
36;b;27,25;1.585;u;g;cc;h;1.835;t;t;12;t;g;583.0;713;t;106,0212796;8,940649837;583000.0;f;good
37;a;23;11.75;u;g;x;h;0.5;t;t;2;t;g;300.0;551;t;84,75408414;66,35546474;300000.0;f;good
